2024-08-02 07:41:46.961 (   0.017s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{3A6826F6-4F5F-4160-9F66-0D9E9175ACEE}' (status: 2, multicast: 1
2024-08-02 07:41:46.961 (   0.018s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{BA05B000-71C1-40F6-AB61-2A67BD7D13DA}' (status: 1, multicast: 1
2024-08-02 07:41:46.961 (   0.018s) [        DE270071]      netinterfaces.cpp:58    INFO| 	IPv6 ifindex 21
2024-08-02 07:41:46.961 (   0.018s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{F72EFBC3-BA17-4898-9346-4C2EDC1F0C9C}' (status: 1, multicast: 1
2024-08-02 07:41:46.961 (   0.018s) [        DE270071]      netinterfaces.cpp:58    INFO| 	IPv6 ifindex 28
2024-08-02 07:41:46.961 (   0.018s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{EEE84601-5D79-4CF3-AC5A-5F2A66CDE497}' (status: 2, multicast: 1
2024-08-02 07:41:46.963 (   0.020s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{BAF9F8BD-DAB6-49A9-8495-CB71F0F0A9EF}' (status: 1, multicast: 1
2024-08-02 07:41:46.963 (   0.020s) [        DE270071]      netinterfaces.cpp:58    INFO| 	IPv6 ifindex 22
2024-08-02 07:41:46.963 (   0.020s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{42836086-1D70-4881-9A15-196EF16E160D}' (status: 2, multicast: 1
2024-08-02 07:41:46.963 (   0.020s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{6EA90E31-C129-4CCF-875F-44E04599FBD2}' (status: 2, multicast: 1
2024-08-02 07:41:46.963 (   0.020s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{2D6C05AA-BFEE-4925-A396-04B018DC0965}' (status: 2, multicast: 1
2024-08-02 07:41:46.963 (   0.020s) [        DE270071]      netinterfaces.cpp:36    INFO| netif '{C54C331E-2DA7-41C3-A754-F372CEF6AFD2}' (status: 1, multicast: 1
